Territorialidade,Cereais e leguminosas,Hortaliças,Frutas,"Cocos, castanhas e nozes","Farinhas, féculas e massas",Panificados,Carnes,Vísceras,Pescados,Aves e ovos,Laticínios,"Açúcares, doces e produtos de confeitaria",Sais e condimentos,Óleos e gorduras,Bebidas e infusões,Alimentos preparados e misturas industriais,Outros produtos
Espírito Santo,20.6773,18.6939,16.4318,0.1898,7.9722,13.4147,15.6267,0.2905,1.1269,10.7764,26.4208,11.4608,2.8611,5.5311,32.5523,2.3684,0.01
Rio de Janeiro,27.7313,21.8402,20.8423,0.2181,8.4133,18.5172,17.3702,0.4665,1.7426,14.0893,27.9058,12.0279,4.2051,7.1096,39.7436,2.9497,0.0004
São Paulo,24.0815,25.7135,32.6636,0.4176,7.9349,17.8242,20.4863,0.372,1.4492,12.141,41.3347,13.3814,5.6138,7.2665,55.9943,6.5122,0.0033
Paraná,23.1144,26.1003,29.4451,0.2497,12.6742,14.9284,23.9769,0.4392,0.8603,12.8854,38.1108,14.9685,6.3482,7.4312,48.1488,3.8694,0.0204
Santa Catarina,20.8961,35.1305,36.8866,0.9266,20.3462,19.2837,25.6302,0.3683,1.2729,18.4672,57.1001,19.6286,6.6934,7.7629,61.2215,5.7537,0.0237
Rio Grande do Sul,22.4768,34.2079,31.3363,0.3228,14.6146,18.2519,27.1166,0.3502,1.0826,20.006,52.9461,14.2653,6.5111,8.0205,58.4966,4.6582,0.0075
Mato Grosso do Sul,32.4,28.7337,26.4325,0.221,7.9514,14.0883,29.4935,0.5479,1.0273,12.856,36.8208,14.0131,4.362,8.5646,37.8438,5.5351,0.0033
Mato Grosso,29.7691,22.0201,24.1553,0.2007,7.4891,10.5565,24.3536,0.729,1.3229,12.6419,36.1213,11.3221,4.1495,6.5808,39.1216,2.1965,0.0058
Goiás,39.9172,28.7336,27.4602,0.228,7.2595,14.8012,25.7237,0.4643,1.2411,16.8591,33.6561,13.8141,3.8301,8.731,42.8721,3.0358,0.0148
Distrito Federal,19.2963,21.4147,30.4151,0.7457,8.6041,17.7601,17.3255,0.34,2.4614,12.9456,26.8267,13.686,3.7604,5.2175,38.7981,5.6724,0.0259
Fonte: IBGE - Pesquisa de Orçamentos Familiares,,,,,,,,,,,,,,,,,
