Territorialidade,Posição IDHM,IDHM,Posição IDHM Renda,IDHM Renda,Posição IDHM Educação,IDHM Educação,Posição IDHM Longevidade,IDHM Longevidade,Posição Mulheres,IDHM Mulheres,Posição Homens,IDHM Homens,Posição Negros,IDHM Negros,Posição Brancos,IDHM Brancos,Posição Urbano,IDHM Urbano,Posição Rural,IDHM Rural
Capetinga (MG),2545,0.675,2149,0.68,3328,0.533,792,0.848,,,,,,,,,,,,
Água Comprida (MG),2545,0.675,1069,0.719,4007,0.498,425,0.86,,,,,,,,,,,,
Virginópolis (MG),2545,0.675,3048,0.638,2338,0.58,1603,0.831,,,,,,,,,,,,
Naque (MG),2545,0.675,3140,0.632,2111,0.592,2064,0.822,,,,,,,,,,,,
Sapucaia (RJ),2545,0.675,2090,0.682,2757,0.561,2940,0.804,,,,,,,,,,,,
Godoy Moreira (PR),2545,0.675,2984,0.642,2377,0.578,1747,0.828,,,,,,,,,,,,
Eugenópolis (MG),2545,0.675,2647,0.66,2967,0.551,901,0.846,,,,,,,,,,,,
Guia Lopes da Laguna (MS),2545,0.675,2230,0.677,3011,0.549,1846,0.826,,,,,,,,,,,,
Pedralva (MG),2545,0.675,2230,0.677,2707,0.563,2805,0.807,,,,,,,,,,,,
Bela Vista do Toldo (SC),2545,0.675,3261,0.624,1995,0.598,1846,0.826,,,,,,,,,,,,
Araguaçu (TO),2545,0.675,2984,0.642,1921,0.602,3292,0.796,,,,,,,,,,,,
Oliveira de Fátima (TO),2545,0.675,3220,0.627,1703,0.614,3214,0.798,,,,,,,,,,,,
Ibituruna (MG),2545,0.675,3034,0.639,2266,0.584,1987,0.823,,,,,,,,,,,,
Aruanã (GO),2545,0.675,1346,0.708,3458,0.526,1846,0.826,,,,,,,,,,,,
Apiacás (MT),2545,0.675,2513,0.666,2557,0.57,2696,0.809,,,,,,,,,,,,
Vila Valério (ES),2545,0.675,1996,0.686,3011,0.549,2357,0.816,,,,,,,,,,,,
Moreira Sales (PR),2545,0.675,2343,0.673,2557,0.57,3026,0.802,,,,,,,,,,,,
Monte Alegre de Minas (MG),2573,0.674,1605,0.699,3675,0.516,792,0.848,,,,,,,,,,,,
Gouvelândia (GO),2573,0.674,2149,0.68,2798,0.559,2849,0.806,,,,,,,,,,,,
Brasilândia de Minas (MG),2573,0.674,2908,0.646,2798,0.559,792,0.848,,,,,,,,,,,,
Novo Mundo (MT),2573,0.674,2807,0.652,2399,0.577,2407,0.815,,,,,,,,,,,,
Paulo Afonso (BA),2573,0.674,2212,0.678,2509,0.572,3540,0.789,,,,,,,,,,,,
Iaras (SP),2573,0.674,2562,0.664,3137,0.543,792,0.848,,,,,,,,,,,,
Pequi (MG),2573,0.674,2375,0.672,2690,0.564,2754,0.808,,,,,,,,,,,,
Bela Vista de Minas (MG),2573,0.674,2952,0.644,2014,0.597,3329,0.795,,,,,,,,,,,,
Ibitiúra de Minas (MG),2573,0.674,2685,0.658,2352,0.579,3026,0.802,,,,,,,,,,,,
Santa Inês (MA),2573,0.674,3120,0.633,1687,0.615,3570,0.788,,,,,,,,,,,,
Anitápolis (SC),2573,0.674,1605,0.699,3502,0.524,1370,0.836,,,,,,,,,,,,
Russas (CE),2573,0.674,3368,0.617,1473,0.626,3475,0.791,,,,,,,,,,,,
Peixe (TO),2573,0.674,2182,0.679,2888,0.555,2562,0.812,,,,,,,,,,,,
Araguapaz (GO),2573,0.674,1707,0.696,3207,0.54,2453,0.814,,,,,,,,,,,,
Guiricema (MG),2573,0.674,2767,0.654,2427,0.576,2562,0.812,,,,,,,,,,,,
Cerro Grande (RS),2573,0.674,2266,0.676,2707,0.563,2990,0.803,,,,,,,,,,,,
Indianópolis (MG),2573,0.674,2562,0.664,2908,0.554,1464,0.834,,,,,,,,,,,,
Olímpio Noronha (MG),2573,0.674,2732,0.656,2399,0.577,2696,0.809,,,,,,,,,,,,
Itamogi (MG),2573,0.674,2535,0.665,2600,0.568,2661,0.81,,,,,,,,,,,,
Cabo Verde (MG),2573,0.674,1996,0.686,3434,0.527,846,0.847,,,,,,,,,,,,
São Francisco do Conde (BA),2573,0.674,3000,0.641,2210,0.587,2562,0.812,,,,,,,,,,,,
Braga (RS),2573,0.674,2732,0.656,2707,0.563,1647,0.83,,,,,,,,,,,,
Candelária (RS),2573,0.674,1605,0.699,3571,0.521,1075,0.842,,,,,,,,,,,,
São Pedro da União (MG),2573,0.674,2149,0.68,3223,0.539,1370,0.836,,,,,,,,,,,,
Senador Cortes (MG),2573,0.674,1915,0.689,3300,0.534,1464,0.834,,,,,,,,,,,,
Amambai (MS),2598,0.673,2061,0.683,3078,0.546,2259,0.818,,,,,,,,,,,,
Porto Alegre do Norte (MT),2598,0.673,2883,0.647,2210,0.587,2990,0.803,,,,,,,,,,,,
Consolação (MG),2598,0.673,3220,0.627,1921,0.602,2849,0.806,,,,,,,,,,,,
Sete Barras (SP),2598,0.673,2822,0.651,2729,0.562,1560,0.832,,,,,,,,,,,,
Dom Bosco (MG),2598,0.673,3220,0.627,2014,0.597,2407,0.815,,,,,,,,,,,,
Rio Acima (MG),2598,0.673,1915,0.689,3832,0.508,204,0.87,,,,,,,,,,,,
Bom Jardim de Minas (MG),2598,0.673,2789,0.653,2578,0.569,2064,0.822,,,,,,,,,,,,
Rio Verde de Mato Grosso (MS),2598,0.673,1996,0.686,3571,0.521,643,0.852,,,,,,,,,,,,
Novo Progresso (PA),2598,0.673,1318,0.709,3618,0.519,1747,0.828,,,,,,,,,,,,
Vitor Meireles (SC),2598,0.673,1768,0.694,3549,0.522,1128,0.841,,,,,,,,,,,,
Ponte Alta (SC),2598,0.673,2513,0.666,2600,0.568,2940,0.804,,,,,,,,,,,,
Guarabira (PB),2598,0.673,3000,0.641,2233,0.586,2562,0.812,,,,,,,,,,,,
Apiacá (ES),2598,0.673,2667,0.659,3011,0.549,1128,0.841,,,,,,,,,,,,
Pinheiros (ES),2598,0.673,2466,0.668,2816,0.558,2357,0.816,,,,,,,,,,,,
Jauru (MT),2598,0.673,2466,0.668,2707,0.563,2562,0.812,,,,,,,,,,,,
Palmeirópolis (TO),2598,0.673,2807,0.652,2531,0.571,2307,0.817,,,,,,,,,,,,
Natividade (TO),2598,0.673,2908,0.646,2866,0.556,846,0.847,,,,,,,,,,,,
Castanhal (PA),2598,0.673,2767,0.654,2304,0.582,3129,0.8,,,,,,,,,,,,
Guanambi (BA),2598,0.673,2592,0.663,2266,0.584,3540,0.789,,,,,,,,,,,,
Cristalândia (TO),2598,0.673,2592,0.663,2557,0.57,2899,0.805,,,,,,,,,,,,
Albertina (MG),2598,0.673,2035,0.684,3011,0.549,2504,0.813,,,,,,,,,,,,
Canaã dos Carajás (PA),2598,0.673,2428,0.67,2578,0.569,3077,0.801,,,,,,,,,,,,
Inhacorá (RS),2598,0.673,2883,0.647,2245,0.585,2805,0.807,,,,,,,,,,,,
São Bento Abade (MG),2621,0.672,2822,0.651,2322,0.581,3077,0.801,,,,,,,,,,,,
Maravilhas (MG),2621,0.672,2924,0.645,2816,0.558,943,0.845,,,,,,,,,,,,
Turvo (PR),2621,0.672,2466,0.668,3011,0.549,1747,0.828,,,,,,,,,,,,
Espigão D'Oeste (RO),2621,0.672,1858,0.691,3270,0.536,2216,0.819,,,,,,,,,,,,
Bandeirante (SC),2621,0.672,2295,0.675,2671,0.565,3329,0.795,,,,,,,,,,,,
Redenção (PA),2621,0.672,2318,0.674,2757,0.561,2940,0.804,,,,,,,,,,,,
Santo Antônio do Amparo (MG),2621,0.672,3000,0.641,2427,0.576,1987,0.823,,,,,,,,,,,,
Paraúna (GO),2621,0.672,1967,0.687,3053,0.547,2805,0.807,,,,,,,,,,,,
Liberdade (MG),2621,0.672,2182,0.679,3249,0.537,1464,0.834,,,,,,,,,,,,
Rebouças (PR),2621,0.672,2883,0.647,2427,0.576,2453,0.814,,,,,,,,,,,,
Capão do Cipó (RS),2621,0.672,3034,0.639,2953,0.552,425,0.86,,,,,,,,,,,,
Entre Rios de Minas (MG),2621,0.672,2343,0.673,2707,0.563,3026,0.802,,,,,,,,,,,,
São Roque de Minas (MG),2621,0.672,1605,0.699,3658,0.517,1281,0.838,,,,,,,,,,,,
Alecrim (RS),2621,0.672,2061,0.683,3549,0.522,643,0.852,,,,,,,,,,,,
Buritis (MG),2621,0.672,2513,0.666,2816,0.558,2407,0.815,,,,,,,,,,,,
Alto do Rodrigues (RN),2621,0.672,2883,0.647,2245,0.585,3129,0.8,,,,,,,,,,,,
Laguna Carapã (MS),2621,0.672,2266,0.676,3100,0.545,2064,0.822,,,,,,,,,,,,
Paranaíta (MT),2621,0.672,2230,0.677,2888,0.555,2696,0.809,,,,,,,,,,,,
Açailândia (MA),2621,0.672,2971,0.643,1921,0.602,3649,0.785,,,,,,,,,,,,
Britânia (GO),2621,0.672,1817,0.692,3078,0.546,3026,0.802,,,,,,,,,,,,
União de Minas (MG),2621,0.672,2035,0.684,3300,0.534,1704,0.829,,,,,,,,,,,,
Ananás (TO),2642,0.671,3304,0.621,1857,0.605,2940,0.804,,,,,,,,,,,,
Santo Antônio do Aventureiro (MG),2642,0.671,2647,0.66,3100,0.545,1128,0.841,,,,,,,,,,,,
Garruchos (RS),2642,0.671,2709,0.657,2924,0.553,1515,0.833,,,,,,,,,,,,
Alpestre (RS),2642,0.671,1576,0.7,3137,0.543,3329,0.795,,,,,,,,,,,,
Nova Resende (MG),2642,0.671,1967,0.687,3480,0.525,1238,0.839,,,,,,,,,,,,
Colméia (TO),2642,0.671,2924,0.645,2475,0.574,2357,0.816,,,,,,,,,,,,
Natalândia (MG),2642,0.671,3000,0.641,2844,0.557,901,0.846,,,,,,,,,,,,
Paty do Alferes (RJ),2642,0.671,2061,0.683,3011,0.549,2849,0.806,,,,,,,,,,,,
Xambioá (TO),2642,0.671,2871,0.648,2557,0.57,2259,0.818,,,,,,,,,,,,
Baldim (MG),2642,0.671,2842,0.65,2157,0.59,3594,0.787,,,,,,,,,,,,
São José da Boa Vista (PR),2642,0.671,2822,0.651,2065,0.594,3726,0.781,,,,,,,,,,,,
Palmeira (SC),2642,0.671,2747,0.655,2844,0.557,1798,0.827,,,,,,,,,,,,
Teixeira Soares (PR),2642,0.671,2266,0.676,3122,0.544,2064,0.822,,,,,,,,,,,,
Esmeraldas (MG),2642,0.671,2861,0.649,2633,0.567,2064,0.822,,,,,,,,,,,,
Santo Antônio do Sudoeste (PR),2642,0.671,1890,0.69,3137,0.543,2805,0.807,,,,,,,,,,,,
Pedro Gomes (MS),2642,0.671,2375,0.672,2729,0.562,3077,0.801,,,,,,,,,,,,
Água Fria de Goiás (GO),2642,0.671,2375,0.672,2988,0.55,2307,0.817,,,,,,,,,,,,
Sentinela do Sul (RS),2642,0.671,2405,0.671,3100,0.545,1846,0.826,,,,,,,,,,,,
São João da Barra (RJ),2642,0.671,1996,0.686,2967,0.551,3129,0.8,,,,,,,,,,,,
Santa Maria de Jetibá (ES),2642,0.671,1741,0.695,3571,0.521,1464,0.834,,,,,,,,,,,,
Corguinho (MS),2642,0.671,2035,0.684,3368,0.531,1647,0.83,,,,,,,,,,,,
Ariranha do Ivaí (PR),2663,0.67,3068,0.637,2065,0.594,3362,0.794,,,,,,,,,,,,
Leme do Prado (MG),2663,0.67,3590,0.602,1193,0.64,3775,0.779,,,,,,,,,,,,
Claro dos Poções (MG),2663,0.67,3607,0.601,1492,0.625,3167,0.799,,,,,,,,,,,,
Augustinópolis (TO),2663,0.67,3419,0.614,1615,0.619,3400,0.793,,,,,,,,,,,,
Tupirama (TO),2663,0.67,3190,0.629,2084,0.593,2754,0.808,,,,,,,,,,,,
Triunfo (PE),2663,0.67,3261,0.624,2133,0.591,2307,0.817,,,,,,,,,,,,
Formoso do Araguaia (TO),2663,0.67,3021,0.64,2210,0.587,3077,0.801,,,,,,,,,,,,
Dois Irmãos das Missões (RS),2663,0.67,2908,0.646,2245,0.585,3252,0.797,,,,,,,,,,,,
Uirapuru (GO),2663,0.67,3140,0.632,2352,0.579,2064,0.822,,,,,,,,,,,,
Taiobeiras (MG),2663,0.67,3034,0.639,2377,0.578,2407,0.815,,,,,,,,,,,,
Divisa Nova (MG),2663,0.67,2647,0.66,2557,0.57,3077,0.801,,,,,,,,,,,,
General Carneiro (MT),2663,0.67,2924,0.645,2578,0.569,2161,0.82,,,,,,,,,,,,
São Gonçalo do Abaeté (MG),2663,0.67,2535,0.665,2600,0.568,3292,0.796,,,,,,,,,,,,
Santa Luzia D'Oeste (RO),2663,0.67,2709,0.657,2690,0.564,2562,0.812,,,,,,,,,,,,
Boa Vista da Aparecida (PR),2663,0.67,2466,0.668,2707,0.563,3077,0.801,,,,,,,,,,,,
Itaparica (BA),2663,0.67,2709,0.657,2924,0.553,1846,0.826,,,,,,,,,,,,
Ipiaú (BA),2663,0.67,1967,0.687,2967,0.551,3292,0.796,,,,,,,,,,,,
Fortaleza de Minas (MG),2663,0.67,2061,0.683,3078,0.546,2899,0.805,,,,,,,,,,,,
Bom Jardim de Goiás (GO),2663,0.67,2149,0.68,3100,0.545,2611,0.811,,,,,,,,,,,,
Resplendor (MG),2663,0.67,2513,0.666,3137,0.543,1515,0.833,,,,,,,,,,,,
Ribeirão Cascalheira (MT),2663,0.67,2466,0.668,3163,0.542,1603,0.831,,,,,,,,,,,,
Conceição do Castelo (ES),2663,0.67,2020,0.685,3183,0.541,2661,0.81,,,,,,,,,,,,
Mimoso do Sul (ES),2663,0.67,2375,0.672,3183,0.541,1798,0.827,,,,,,,,,,,,
Lagoa Bonita do Sul (RS),2663,0.67,1707,0.696,3223,0.539,3077,0.801,,,,,,,,,,,,
Anaurilândia (MS),2663,0.67,2266,0.676,3239,0.538,1846,0.826,,,,,,,,,,,,
Barra do Ribeiro (RS),2663,0.67,1858,0.691,3402,0.529,2064,0.822,,,,,,,,,,,,
Água Clara (MS),2663,0.67,1424,0.705,3634,0.518,1987,0.823,,,,,,,,,,,,
Bonito (MS),2663,0.67,1190,0.714,3832,0.508,1603,0.831,,,,,,,,,,,,
Coronel Pacheco (MG),2691,0.669,2343,0.673,2671,0.565,3540,0.789,,,,,,,,,,,,
Coimbra (MG),2691,0.669,2861,0.649,2816,0.558,1905,0.825,,,,,,,,,,,,
Martinho Campos (MG),2691,0.669,1939,0.688,3696,0.515,986,0.844,,,,,,,,,,,,
Juramento (MG),2691,0.669,3607,0.601,1649,0.617,2754,0.808,,,,,,,,,,,,
Arroio do Padre (RS),2691,0.669,321,0.756,4672,0.461,425,0.86,,,,,,,,,,,,
Ponto Belo (ES),2691,0.669,3155,0.631,1857,0.605,3690,0.783,,,,,,,,,,,,
Volta Grande (MG),2691,0.669,2448,0.669,3368,0.531,1128,0.841,,,,,,,,,,,,
Planaltina (GO),2691,0.669,2789,0.653,2654,0.566,2661,0.81,,,,,,,,,,,,
Pugmil (TO),2691,0.669,3304,0.621,2045,0.595,2696,0.809,,,,,,,,,,,,
Balbinos (SP),2691,0.669,1890,0.69,3249,0.537,2696,0.809,,,,,,,,,,,,
Santo Antônio do Rio Abaixo (MG),2691,0.669,3386,0.616,2133,0.591,1987,0.823,,,,,,,,,,,,
Paineiras (MG),2691,0.669,1858,0.691,3458,0.526,1951,0.824,,,,,,,,,,,,
Delfim Moreira (MG),2691,0.669,2861,0.649,2953,0.552,1315,0.837,,,,,,,,,,,,
Buenópolis (MG),2691,0.669,2842,0.65,2352,0.579,3292,0.796,,,,,,,,,,,,
Guamiranga (PR),2691,0.669,2709,0.657,2600,0.568,2940,0.804,,,,,,,,,,,,
Itati (RS),2691,0.669,1817,0.692,3502,0.524,1798,0.827,,,,,,,,,,,,
Presidente Kennedy (TO),2691,0.669,3204,0.628,2304,0.582,2161,0.82,,,,,,,,,,,,
São Luíz do Norte (GO),2691,0.669,2971,0.643,2322,0.581,3077,0.801,,,,,,,,,,,,
Salgueiro (PE),2691,0.669,2924,0.645,2338,0.58,3167,0.799,,,,,,,,,,,,
Domingos Martins (ES),2691,0.669,2149,0.68,3419,0.528,1515,0.833,,,,,,,,,,,,
Nova Ubiratã (MT),2691,0.669,1768,0.694,3402,0.529,2357,0.816,,,,,,,,,,,,
Pirapó (RS),2691,0.669,2732,0.656,2924,0.553,1951,0.824,,,,,,,,,,,,
Amaporã (PR),2691,0.669,2952,0.644,2133,0.591,3649,0.785,,,,,,,,,,,,
Francisco Alves (PR),2691,0.669,2448,0.669,2557,0.57,3629,0.786,,,,,,,,,,,,
Santa Terezinha (SC),2691,0.669,3068,0.637,2457,0.575,2307,0.817,,,,,,,,,,,,
Cristina (MG),2716,0.668,2924,0.645,2988,0.55,1075,0.842,,,,,,,,,,,,
Confresa (MT),2716,0.668,2647,0.66,2866,0.556,2562,0.812,,,,,,,,,,,,
Congonhinhas (PR),2716,0.668,2747,0.655,2729,0.562,2696,0.809,,,,,,,,,,,,
Mata de São João (BA),2716,0.668,2871,0.648,2729,0.562,2259,0.818,,,,,,,,,,,,
Bom Jesus (PI),2716,0.668,2535,0.665,2729,0.562,3167,0.799,,,,,,,,,,,,
Sousa (PB),2716,0.668,2924,0.645,2633,0.567,2453,0.814,,,,,,,,,,,,
Laje do Muriaé (RJ),2716,0.668,2861,0.649,2457,0.575,3129,0.8,,,,,,,,,,,,
Aiuruoca (MG),2716,0.668,2230,0.677,3883,0.505,181,0.871,,,,,,,,,,,,
Conceição das Pedras (MG),2716,0.668,2984,0.642,2654,0.566,2112,0.821,,,,,,,,,,,,
Santa Maria Madalena (RJ),2716,0.668,2375,0.672,2866,0.556,3252,0.797,,,,,,,,,,,,
Jacuí (MG),2716,0.668,2090,0.682,3207,0.54,2661,0.81,,,,,,,,,,,,
Cabeceiras (GO),2716,0.668,3068,0.637,2531,0.571,2216,0.819,,,,,,,,,,,,
Marabá (PA),2716,0.668,2343,0.673,2690,0.564,3649,0.785,111.0,0.597,111.0,0.568,111.0,0.553,111.0,0.627,,,,
Luiziana (PR),2716,0.668,2667,0.659,2338,0.58,3726,0.781,,,,,,,,,,,,
Doverlândia (GO),2716,0.668,2035,0.684,3634,0.518,1183,0.84,,,,,,,,,,,,
Alfredo Wagner (SC),2716,0.668,1516,0.702,4306,0.481,70,0.882,,,,,,,,,,,,
São Félix do Araguaia (MT),2716,0.668,2807,0.652,3239,0.538,792,0.848,,,,,,,,,,,,
Centenário do Sul (PR),2716,0.668,1996,0.686,3011,0.549,3475,0.791,,,,,,,,,,,,
Rodeiro (MG),2716,0.668,1473,0.703,3348,0.532,3252,0.797,,,,,,,,,,,,
Alterosa (MG),2716,0.668,2709,0.657,3270,0.536,846,0.847,,,,,,,,,,,,
Vieiras (MG),2716,0.668,3279,0.623,2111,0.592,2754,0.808,,,,,,,,,,,,
Tejupá (SP),2716,0.668,2466,0.668,2707,0.563,3362,0.794,,,,,,,,,,,,
Canabrava do Norte (MT),2738,0.667,3386,0.616,2174,0.589,2307,0.817,,,,,,,,,,,,
Paranatinga (MT),2738,0.667,2182,0.679,3348,0.532,2161,0.82,,,,,,,,,,,,
Sucupira (TO),2738,0.667,3279,0.623,1977,0.599,3362,0.794,,,,,,,,,,,,
Adrianópolis (PR),2738,0.667,2952,0.644,2707,0.563,2307,0.817,,,,,,,,,,,,
São Gonçalo do Rio Abaixo (MG),2738,0.667,2685,0.658,2578,0.569,3428,0.792,,,,,,,,,,,,
Itapetinga (BA),2738,0.667,2490,0.667,2729,0.562,3511,0.79,,,,,,,,,,,,
Pancas (ES),2738,0.667,2871,0.648,2729,0.562,2407,0.815,,,,,,,,,,,,
São Miguel das Missões (RS),2738,0.667,2318,0.674,3249,0.537,2112,0.821,,,,,,,,,,,,
Altamira do Paraná (PR),2738,0.667,2490,0.667,2531,0.571,3751,0.78,,,,,,,,,,,,
Arcoverde (PE),2738,0.667,2767,0.654,2633,0.567,3167,0.799,,,,,,,,,,,,
Afonso Cláudio (ES),2738,0.667,2626,0.661,3122,0.544,1905,0.825,,,,,,,,,,,,
Imaruí (SC),2738,0.667,2428,0.67,3388,0.53,1464,0.834,,,,,,,,,,,,
Nepomuceno (MG),2738,0.667,2685,0.658,3011,0.549,2064,0.822,,,,,,,,,,,,
São Thomé das Letras (MG),2738,0.667,3021,0.64,2377,0.578,3077,0.801,,,,,,,,,,,,
Tapiraí (MG),2738,0.667,2428,0.67,3549,0.522,846,0.847,,,,,,,,,,,,
Montanha (ES),2738,0.667,2182,0.679,3292,0.535,2357,0.816,,,,,,,,,,,,
Buri (SP),2738,0.667,2984,0.642,2377,0.578,3167,0.799,,,,,,,,,,,,
Bituruna (PR),2738,0.667,2924,0.645,2866,0.556,1704,0.829,,,,,,,,,,,,
Trajano de Moraes (RJ),2738,0.667,2466,0.668,3053,0.547,2504,0.813,,,,,,,,,,,,
Veríssimo (MG),2738,0.667,2061,0.683,3961,0.501,222,0.869,,,,,,,,,,,,
Santana do Garambéu (MG),2738,0.667,2871,0.648,2816,0.558,2064,0.822,,,,,,,,,,,,
Icaraíma (PR),2759,0.666,2343,0.673,2908,0.554,3428,0.792,,,,,,,,,,,,
Bodoquena (MS),2759,0.666,2535,0.665,2490,0.573,3897,0.776,,,,,,,,,,,,
Tucuruí (PA),2759,0.666,2295,0.675,3029,0.548,3129,0.8,,,,,,,,,,,,
Várzea da Palma (MG),2759,0.666,3109,0.634,2490,0.573,2453,0.814,,,,,,,,,,,,
Mucurici (ES),2759,0.666,3368,0.617,2399,0.577,1747,0.828,,,,,,,,,,,,
Cruzmaltina (PR),2759,0.666,2842,0.65,2084,0.593,4204,0.768,,,,,,,,,,,,
Papagaios (MG),2759,0.666,2842,0.65,3100,0.545,1515,0.833,,,,,,,,,,,,
Faxinalzinho (RS),2759,0.666,2908,0.646,2531,0.571,3077,0.801,,,,,,,,,,,,
Senhor do Bonfim (BA),2759,0.666,3048,0.638,1977,0.599,4028,0.773,,,,,,,,,,,,
Iúna (ES),2759,0.666,2535,0.665,3249,0.537,1704,0.829,,,,,,,,,,,,
Pojuca (BA),2759,0.666,2924,0.645,2798,0.559,2216,0.819,,,,,,,,,,,,
Lindoeste (PR),2759,0.666,2807,0.652,2185,0.588,4168,0.769,,,,,,,,,,,,
Bom Jesus (RS),2759,0.666,1678,0.697,3792,0.51,1560,0.832,,,,,,,,,,,,
Amélia Rodrigues (BA),2759,0.666,3492,0.609,1957,0.6,2661,0.81,,,,,,,,,,,,
Porto Murtinho (MS),2759,0.666,2230,0.677,3458,0.526,1647,0.83,,,,,,,,,,,,
São José do Goiabal (MG),2759,0.666,2709,0.657,2924,0.553,2453,0.814,,,,,,,,,,,,
Salto do Céu (MT),2759,0.666,2626,0.661,2776,0.56,3252,0.797,,,,,,,,,,,,
Pimenteiras do Oeste (RO),2776,0.665,2613,0.662,3100,0.545,2357,0.816,,,,,,,,,,,,
São Gonçalo do Amarante (CE),2776,0.665,3834,0.587,1082,0.646,3948,0.775,,,,,,,,,,,,
São Cristovão do Sul (SC),2776,0.665,2490,0.667,3137,0.543,2562,0.812,,,,,,,,,,,,
Mucajaí (RR),2776,0.665,2626,0.661,3053,0.547,2504,0.813,,,,,,,,,,,,
Benevides (PA),2776,0.665,3279,0.623,2111,0.592,3214,0.798,,,,,,,,,,,,
Coronel Bicaco (RS),2776,0.665,2490,0.667,2988,0.55,2990,0.803,,,,,,,,,,,,
Santo Antônio do Descoberto (GO),2776,0.665,2883,0.647,2866,0.556,2259,0.818,,,,,,,,,,,,
Conceição do Rio Verde (MG),2776,0.665,2295,0.675,3549,0.522,1464,0.834,,,,,,,,,,,,
Macau (RN),2776,0.665,2842,0.65,2509,0.572,3428,0.792,,,,,,,,,,,,
Ipaba (MG),2776,0.665,3173,0.63,2729,0.562,1704,0.829,,,,,,,,,,,,
Mirabela (MG),2776,0.665,3678,0.596,1556,0.622,3362,0.794,,,,,,,,,,,,
Iretama (PR),2776,0.665,1707,0.696,3571,0.521,2611,0.811,,,,,,,,,,,,
Altamira (PA),2776,0.665,2613,0.662,3029,0.548,2611,0.811,,,,,,,,,,,,
União do Sul (MT),2776,0.665,2535,0.665,2866,0.556,3252,0.797,,,,,,,,,,,,
Laranjal do Jari (AP),2776,0.665,3000,0.641,2490,0.573,3077,0.801,,,,,,,,,,,,
Carlinda (MT),2776,0.665,2732,0.656,2924,0.553,2696,0.809,,,,,,,,,,,,
Mucuri (BA),2776,0.665,2182,0.679,3183,0.541,3077,0.801,,,,,,,,,,,,
Abreulândia (TO),2776,0.665,1576,0.7,3943,0.502,1419,0.835,,,,,,,,,,,,
Igarassu (PE),2776,0.665,3293,0.622,1835,0.606,3726,0.781,,,,,,,,,,,,
Quevedos (RS),2776,0.665,2490,0.667,3300,0.534,1951,0.824,,,,,,,,,,,,
Santana do Riacho (MG),2776,0.665,3000,0.641,2967,0.551,1464,0.834,,,,,,,,,,,,
Central de Minas (MG),2776,0.665,2592,0.663,3207,0.54,1987,0.823,,,,,,,,,,,,
Mimoso de Goiás (GO),2776,0.665,2732,0.656,3137,0.543,1905,0.825,,,,,,,,,,,,
Jequié (BA),2776,0.665,2732,0.656,2600,0.568,3511,0.79,,,,,,,,,,,,
Santa Tereza de Goiás (GO),2776,0.665,3095,0.635,2757,0.561,1905,0.825,,,,,,,,,,,,
Castanheira (MT),2776,0.665,2405,0.671,3053,0.547,3129,0.8,,,,,,,,,,,,
Ribas do Rio Pardo (MS),2802,0.664,2119,0.681,3618,0.519,1647,0.83,,,,,,,,,,,,
Uruana de Minas (MG),2802,0.664,3454,0.612,1921,0.602,3400,0.793,,,,,,,,,,,,
Nossa Senhora do Socorro (SE),2802,0.664,3322,0.62,2322,0.581,2611,0.811,,,,,,,,,,,,
São Brás do Suaçuí (MG),2802,0.664,2295,0.675,3183,0.541,3077,0.801,,,,,,,,,,,,
Alto Rio Novo (ES),2802,0.664,3109,0.634,2633,0.567,2407,0.815,,,,,,,,,,,,
Grossos (RN),2802,0.664,3120,0.633,2245,0.585,3511,0.79,,,,,,,,,,,,
Presidente Médici (RO),2802,0.664,2405,0.671,2988,0.55,3428,0.792,,,,,,,,,,,,
São João do Caiuá (PR),2802,0.664,2212,0.678,2967,0.551,3649,0.785,,,,,,,,,,,,
Serra Nova Dourada (MT),2802,0.664,3048,0.638,2776,0.56,2216,0.819,,,,,,,,,,,,
Chácara (MG),2802,0.664,2842,0.65,3753,0.512,98,0.878,,,,,,,,,,,,
São Pedro das Missões (RS),2802,0.664,2952,0.644,2654,0.566,2940,0.804,,,,,,,,,,,,
São Miguel do Araguaia (GO),2802,0.664,2490,0.667,3270,0.536,2259,0.818,,,,,,,,,,,,
Cruz Machado (PR),2802,0.664,3095,0.635,3100,0.545,943,0.845,,,,,,,,,,,,
Rio Doce (MG),2802,0.664,2952,0.644,2633,0.567,3077,0.801,,,,,,,,,,,,
Caturaí (GO),2802,0.664,2535,0.665,3207,0.54,2407,0.815,,,,,,,,,,,,
Mercês (MG),2802,0.664,2061,0.683,3696,0.515,1603,0.831,,,,,,,,,,,,
Riversul (SP),2802,0.664,3109,0.634,2399,0.577,3167,0.799,,,,,,,,,,,,
Cruzeiro do Sul (AC),2802,0.664,2871,0.648,2304,0.582,3897,0.776,,,,,,,,,,,,
Garanhuns (PE),2802,0.664,2613,0.662,2866,0.556,3329,0.795,,,,,,,,,,,,
Itapuca (RS),2802,0.664,1318,0.709,4066,0.495,1464,0.834,,,,,,,,,,,,
Tibagi (PR),2802,0.664,2212,0.678,3618,0.519,1560,0.832,,,,,,,,,,,,
Inimutaba (MG),2802,0.664,3247,0.625,2352,0.579,2661,0.81,,,,,,,,,,,,
Painel (SC),2802,0.664,2466,0.668,3137,0.543,2754,0.808,,,,,,,,,,,,
Novo Horizonte do Norte (MT),2802,0.664,2807,0.652,3029,0.548,2161,0.82,,,,,,,,,,,,
